"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript React", "SCSS", "HTML", "comment", "blank", "total"
"c:\products\phimke-remake\.prettierrc", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 19
"c:\products\phimke-remake\firebase.json", "JSON", 0, 0, 7, 0, 0, 0, 10, 0, 17
"c:\products\phimke-remake\package.json", "JSON", 0, 0, 72, 0, 0, 0, 0, 1, 73
"c:\products\phimke-remake\public\index.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 4, 41
"c:\products\phimke-remake\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\products\phimke-remake\src\App.scss", "SCSS", 0, 0, 0, 0, 69, 0, 0, 15, 84
"c:\products\phimke-remake\src\App.test.tsx", "TypeScript React", 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\products\phimke-remake\src\App.tsx", "TypeScript React", 0, 0, 0, 28, 0, 0, 14, 2, 44
"c:\products\phimke-remake\src\Firebase\config.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\products\phimke-remake\src\apis\cmtApi.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\products\phimke-remake\src\apis\loklokApi.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\products\phimke-remake\src\apis\loklokClient.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\products\phimke-remake\src\apis\searchApi.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 3, 60
"c:\products\phimke-remake\src\app\hooks.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\products\phimke-remake\src\app\rootSaga.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\products\phimke-remake\src\app\store.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\products\phimke-remake\src\components\Header\Header.module.scss", "SCSS", 0, 0, 0, 0, 127, 0, 0, 13, 140
"c:\products\phimke-remake\src\components\Header\index.tsx", "TypeScript React", 0, 0, 0, 82, 0, 0, 0, 9, 91
"c:\products\phimke-remake\src\components\ImageLazyLoad\ImageLazyLoad.module.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\products\phimke-remake\src\components\ImageLazyLoad\index.tsx", "TypeScript React", 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\products\phimke-remake\src\components\ImageLoading\Image.module.scss", "SCSS", 0, 0, 0, 0, 26, 0, 0, 2, 28
"c:\products\phimke-remake\src\components\ImageLoading\index.tsx", "TypeScript React", 0, 0, 0, 35, 0, 0, 0, 6, 41
"c:\products\phimke-remake\src\components\ListFilm\ItemFilm.tsx", "TypeScript React", 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\products\phimke-remake\src\components\ListFilm\ListFilm.module.scss", "SCSS", 0, 0, 0, 0, 146, 0, 0, 16, 162
